Дата,Год,Год-мес,точка,бренд,товар,Количество,Продажи,Себестоимость
2021-12-01,2021,202112,на Горького,Nuke,NK ais-5028,33,372372,155100.0
2022-01-01,2022,202201,на Горького,Nuke,NK ais-5028,49,577171,230300.0
2022-02-01,2022,202202,на Горького,Nuke,NK ais-5028,31,366389,145700.0
2022-03-01,2022,202203,на Горького,Nuke,NK ais-5028,25,274150,117500.0
2022-04-01,2022,202204,на Горького,Nuke,NK ais-5028,46,545330,216200.0
2022-05-01,2022,202205,на Горького,Nuke,NK ais-5028,58,721752,272600.0
2022-06-01,2022,202206,на Горького,Nuke,NK ais-5028,55,597575,258500.0
2022-07-01,2022,202207,на Горького,Nuke,NK ais-5028,58,561208,272600.0
2022-08-01,2022,202208,на Горького,Nuke,NK ais-5028,49,519253,230300.0
2022-09-01,2022,202209,на Горького,Nuke,NK ais-5028,52,534924,244400.0
2022-10-01,2022,202210,на Горького,Nuke,NK ais-5028,43,515914,202100.0
2022-11-01,2022,202211,на Горького,Nuke,NK ais-5028,31,343666,145700.0
2022-12-01,2022,202212,на Горького,Nuke,NK ais-5028,37,405705,173900.0
2021-01-01,2021,202101,на Горького,Nuke,NK ice-4908,47,490868,252343.0
2021-02-01,2021,202102,на Горького,Nuke,NK ice-4908,29,295104,155701.0
2021-03-01,2021,202103,на Горького,Nuke,NK ice-4908,24,237288,128856.0
2021-04-01,2021,202104,на Горького,Nuke,NK ice-4908,44,488136,236236.0
2021-05-01,2021,202105,на Горького,Nuke,NK ice-4908,55,619300,295295.0
2021-06-01,2021,202106,на Горького,Nuke,NK ice-4908,53,558408,284557.0
2021-07-01,2021,202107,на Горького,Nuke,NK ice-4908,55,456830,295295.0
2021-08-01,2021,202108,на Горького,Nuke,NK ice-4908,47,448850,252343.0
2021-09-01,2021,202109,на Горького,Nuke,NK ice-4908,50,476900,268450.0
2021-10-01,2021,202110,на Горького,Nuke,NK ice-4908,41,432468,220129.0
2021-11-01,2021,202111,на Горького,Nuke,NK ice-4908,29,305573,155701.0
2021-12-01,2021,202112,на Горького,Nuke,NK ice-4908,35,338345,187915.0
2022-01-01,2022,202201,на Горького,Nuke,NK ice-4908,51,540651,273819.0
2022-02-01,2022,202202,на Горького,Nuke,NK ice-4908,32,321536,171808.0
2022-03-01,2022,202203,на Горького,Nuke,NK ice-4908,26,259142,139594.0
2022-04-01,2022,202204,на Горького,Nuke,NK ice-4908,48,537696,257712.0
2022-05-01,2022,202205,на Горького,Nuke,NK ice-4908,61,682529,327509.0
2022-06-01,2022,202206,на Горького,Nuke,NK ice-4908,58,597458,311402.0
2022-07-01,2022,202207,на Горького,Nuke,NK ice-4908,61,535885,327509.0
2022-08-01,2022,202208,на Горького,Nuke,NK ice-4908,51,504747,273819.0
2022-09-01,2022,202209,на Горького,Nuke,NK ice-4908,55,564190,295295.0
2022-10-01,2022,202210,на Горького,Nuke,NK ice-4908,45,490950,241605.0
2022-11-01,2022,202211,на Горького,Nuke,NK ice-4908,32,323264,171808.0
2022-12-01,2022,202212,на Горького,Nuke,NK ice-4908,39,404040,209391.0
2021-01-01,2021,202101,на Горького,Nuke,NK ai-2826,33,394944,181500.0
2021-02-01,2021,202102,на Горького,Nuke,NK ai-2826,21,259245,115500.0
2021-03-01,2021,202103,на Горького,Nuke,NK ai-2826,17,192950,93500.0
2021-04-01,2021,202104,на Горького,Nuke,NK ai-2826,31,387252,170500.0
2021-05-01,2021,202105,на Горького,Nuke,NK ai-2826,40,529280,220000.0
2021-06-01,2021,202106,на Горького,Nuke,NK ai-2826,38,467172,209000.0
2021-07-01,2021,202107,на Горького,Nuke,NK ai-2826,40,421520,220000.0
2021-08-01,2021,202108,на Горького,Nuke,NK ai-2826,33,396363,181500.0
2021-09-01,2021,202109,на Горького,Nuke,NK ai-2826,35,396130,192500.0
2021-10-01,2021,202110,на Горького,Nuke,NK ai-2826,29,364762,159500.0
2021-11-01,2021,202111,на Горького,Nuke,NK ai-2826,21,258384,115500.0
2021-12-01,2021,202112,на Горького,Nuke,NK ai-2826,25,305450,137500.0
2022-01-01,2022,202201,на Горького,Nuke,NK ai-2826,37,449920,203500.0
2022-02-01,2022,202202,на Горького,Nuke,NK ai-2826,23,276920,126500.0
2022-03-01,2022,202203,на Горького,Nuke,NK ai-2826,19,233358,104500.0
2022-04-01,2022,202204,на Горького,Nuke,NK ai-2826,34,431222,187000.0
2022-05-01,2022,202205,на Горького,Nuke,NK ai-2826,44,555676,242000.0
2022-06-01,2022,202206,на Горького,Nuke,NK ai-2826,41,525415,225500.0
2022-07-01,2022,202207,на Горького,Nuke,NK ai-2826,44,467324,242000.0
2022-08-01,2022,202208,на Горького,Nuke,NK ai-2826,37,445369,203500.0
2022-09-01,2022,202209,на Горького,Nuke,NK ai-2826,39,440427,214500.0
2022-10-01,2022,202210,на Горького,Nuke,NK ai-2826,32,387584,176000.0
2022-11-01,2022,202211,на Горького,Nuke,NK ai-2826,23,287799,126500.0
2022-12-01,2022,202212,на Горького,Nuke,NK ai-2826,28,342104,154000.0
2021-01-01,2021,202101,на Горького,Rubok,RB air-7636,11,41712,16632.0
2021-02-01,2021,202102,на Горького,Rubok,RB air-7636,7,32396,10584.0
2021-03-01,2021,202103,на Горького,Rubok,RB air-7636,6,18414,9072.0
2021-04-01,2021,202104,на Горького,Rubok,RB air-7636,10,40850,15120.0
2021-05-01,2021,202105,на Горького,Rubok,RB air-7636,12,64932,18144.0
2021-06-01,2021,202106,на Горького,Rubok,RB air-7636,12,44340,18144.0
2021-07-01,2021,202107,на Горького,Rubok,RB air-7636,12,33552,18144.0
2021-08-01,2021,202108,на Горького,Rubok,RB air-7636,11,43153,16632.0
2021-09-01,2021,202109,на Горького,Rubok,RB air-7636,11,44858,16632.0
2021-10-01,2021,202110,на Горького,Rubok,RB air-7636,9,33714,13608.0
2021-11-01,2021,202111,на Горького,Rubok,RB air-7636,7,28658,10584.0
2021-12-01,2021,202112,на Горького,Rubok,RB air-7636,8,33128,12096.0
2022-01-01,2022,202201,на Горького,Rubok,RB air-7636,12,51960,18144.0
2022-02-01,2022,202202,на Горького,Rubok,RB air-7636,7,30744,10584.0
2022-03-01,2022,202203,на Горького,Rubok,RB air-7636,6,19380,9072.0
2022-04-01,2022,202204,на Горького,Rubok,RB air-7636,11,54692,16632.0
2022-05-01,2022,202205,на Горького,Rubok,RB air-7636,14,67172,21168.0
2022-06-01,2022,202206,на Горького,Rubok,RB air-7636,13,57434,19656.0
2022-07-01,2022,202207,на Горького,Rubok,RB air-7636,14,43344,21168.0
2022-08-01,2022,202208,на Горького,Rubok,RB air-7636,12,48996,18144.0
2022-09-01,2022,202209,на Горького,Rubok,RB air-7636,12,47016,18144.0
2022-10-01,2022,202210,на Горького,Rubok,RB air-7636,10,39650,15120.0
2022-11-01,2022,202211,на Горького,Rubok,RB air-7636,7,25837,10584.0
2022-12-01,2022,202212,на Горького,Rubok,RB air-7636,9,28179,13608.0
2021-01-01,2021,202101,на Горького,Rubok,RB grou-5163,13,45669,10166.0
2021-02-01,2021,202102,на Горького,Rubok,RB grou-5163,8,24440,6256.0
2021-03-01,2021,202103,на Горького,Rubok,RB grou-5163,7,18886,5474.0
2021-04-01,2021,202104,на Горького,Rubok,RB grou-5163,12,43836,9384.0
2021-05-01,2021,202105,на Горького,Rubok,RB grou-5163,15,52065,11730.0
2021-06-01,2021,202106,на Горького,Rubok,RB grou-5163,14,43722,10948.0
2021-07-01,2021,202107,на Горького,Rubok,RB grou-5163,15,26235,11730.0
2021-08-01,2021,202108,на Горького,Rubok,RB grou-5163,13,31044,10166.0
2021-09-01,2021,202109,на Горького,Rubok,RB grou-5163,14,31584,10948.0
2021-10-01,2021,202110,на Горького,Rubok,RB grou-5163,11,30250,8602.0
2021-11-01,2021,202111,на Горького,Rubok,RB grou-5163,8,26920,6256.0
2021-12-01,2021,202112,на Горького,Rubok,RB grou-5163,10,21790,7820.0
2022-01-01,2022,202201,на Горького,Rubok,RB grou-5163,14,36820,10948.0
2022-02-01,2022,202202,на Горького,Rubok,RB grou-5163,9,26370,7038.0
2022-03-01,2022,202203,на Горького,Rubok,RB grou-5163,7,13965,5474.0
2022-04-01,2022,202204,на Горького,Rubok,RB grou-5163,13,41210,10166.0
2022-05-01,2022,202205,на Горького,Rubok,RB grou-5163,17,54978,13294.0
2022-06-01,2022,202206,на Горького,Rubok,RB grou-5163,16,48448,12512.0
2022-07-01,2022,202207,на Горького,Rubok,RB grou-5163,17,19176,13294.0
2022-08-01,2022,202208,на Горького,Rubok,RB grou-5163,14,36274,10948.0
2022-09-01,2022,202209,на Горького,Rubok,RB grou-5163,15,27825,11730.0
2022-10-01,2022,202210,на Горького,Rubok,RB grou-5163,12,34956,9384.0
2022-11-01,2022,202211,на Горького,Rubok,RB grou-5163,9,27909,7038.0
2022-12-01,2022,202212,на Горького,Rubok,RB grou-5163,11,27995,8602.0
2021-01-01,2021,202101,на Горького,Rubok,RB gre-1678,12,55632,21000.0
2021-02-01,2021,202102,на Горького,Rubok,RB gre-1678,7,33894,12250.0
2021-03-01,2021,202103,на Горького,Rubok,RB gre-1678,6,26916,10500.0
2021-04-01,2021,202104,на Горького,Rubok,RB gre-1678,11,54417,19250.0
2021-05-01,2021,202105,на Горького,Rubok,RB gre-1678,14,81452,24500.0
2021-06-01,2021,202106,на Горького,Rubok,RB gre-1678,13,69576,22750.0
2021-07-01,2021,202107,на Горького,Rubok,RB gre-1678,14,41608,24500.0
2021-08-01,2021,202108,на Горького,Rubok,RB gre-1678,12,52944,21000.0
2021-09-01,2021,202109,на Горького,Rubok,RB gre-1678,12,55596,21000.0
2021-10-01,2021,202110,на Горького,Rubok,RB gre-1678,10,50380,17500.0
2021-11-01,2021,202111,на Горького,Rubok,RB gre-1678,7,29862,12250.0
2021-12-01,2021,202112,на Горького,Rubok,RB gre-1678,9,41796,15750.0
2022-01-01,2022,202201,на Горького,Rubok,RB gre-1678,13,69706,22750.0
2022-02-01,2022,202202,на Горького,Rubok,RB gre-1678,8,37264,14000.0
2022-03-01,2022,202203,на Горького,Rubok,RB gre-1678,7,29771,12250.0
2022-04-01,2022,202204,на Горького,Rubok,RB gre-1678,12,66492,21000.0
2022-05-01,2022,202205,на Горького,Rubok,RB gre-1678,15,80865,26250.0
2022-06-01,2022,202206,на Горького,Rubok,RB gre-1678,14,71820,24500.0
2022-07-01,2022,202207,на Горького,Rubok,RB gre-1678,15,51390,26250.0
2022-08-01,2022,202208,на Горького,Rubok,RB gre-1678,13,47333,22750.0
2022-09-01,2022,202209,на Горького,Rubok,RB gre-1678,14,54110,24500.0
2022-10-01,2022,202210,на Горького,Rubok,RB gre-1678,11,54043,19250.0
2022-11-01,2022,202211,на Горького,Rubok,RB gre-1678,8,37856,14000.0
2022-12-01,2022,202212,на Горького,Rubok,RB gre-1678,10,46610,17500.0
2021-01-01,2021,202101,на Горького,Rubok,RB earth-5369,11,51788,27720.0
2021-02-01,2021,202102,на Горького,Rubok,RB earth-5369,7,40320,17640.0
2021-03-01,2021,202103,на Горького,Rubok,RB earth-5369,6,29424,15120.0
2021-04-01,2021,202104,на Горького,Rubok,RB earth-5369,10,57620,25200.0
2021-05-01,2021,202105,на Горького,Rubok,RB earth-5369,12,70560,30240.0
2021-06-01,2021,202106,на Горького,Rubok,RB earth-5369,12,62484,30240.0
2021-07-01,2021,202107,на Горького,Rubok,RB earth-5369,12,41892,30240.0
2021-08-01,2021,202108,на Горького,Rubok,RB earth-5369,11,49291,27720.0
2021-09-01,2021,202109,на Горького,Rubok,RB earth-5369,11,52844,27720.0
2021-10-01,2021,202110,на Горького,Rubok,RB earth-5369,9,54315,22680.0
2021-11-01,2021,202111,на Горького,Rubok,RB earth-5369,7,40306,17640.0
2021-12-01,2021,202112,на Горького,Rubok,RB earth-5369,8,34776,20160.0
2022-01-01,2022,202201,на Горького,Rubok,RB earth-5369,12,62052,30240.0
2022-02-01,2022,202202,на Горького,Rubok,RB earth-5369,7,39585,17640.0
2022-03-01,2022,202203,на Горького,Rubok,RB earth-5369,6,27732,15120.0
2022-04-01,2022,202204,на Горького,Rubok,RB earth-5369,11,70345,27720.0
2022-05-01,2022,202205,на Горького,Rubok,RB earth-5369,14,85946,35280.0
2022-06-01,2022,202206,на Горького,Rubok,RB earth-5369,13,67951,32760.0
2022-07-01,2022,202207,на Горького,Rubok,RB earth-5369,14,52332,35280.0
2022-08-01,2022,202208,на Горького,Rubok,RB earth-5369,12,54888,30240.0
2022-09-01,2022,202209,на Горького,Rubok,RB earth-5369,12,63612,30240.0
2022-10-01,2022,202210,на Горького,Rubok,RB earth-5369,10,56150,25200.0
2022-11-01,2022,202211,на Горького,Rubok,RB earth-5369,7,37968,17640.0
2022-12-01,2022,202212,на Горького,Rubok,RB earth-5369,9,38565,22680.0
2021-01-01,2021,202101,на Горького,Rubok,RB ais-8935,13,42419,12012.0
2021-02-01,2021,202102,на Горького,Rubok,RB ais-8935,9,30969,8316.0
2021-03-01,2021,202103,на Горького,Rubok,RB ais-8935,7,20748,6468.0
2021-04-01,2021,202104,на Горького,Rubok,RB ais-8935,13,48763,12012.0
2021-05-01,2021,202105,на Горького,Rubok,RB ais-8935,16,62928,14784.0
2021-06-01,2021,202106,на Горького,Rubok,RB ais-8935,15,48690,13860.0
2021-07-01,2021,202107,на Горького,Rubok,RB ais-8935,16,20720,14784.0
2021-08-01,2021,202108,на Горького,Rubok,RB ais-8935,13,38090,12012.0
2021-09-01,2021,202109,на Горького,Rubok,RB ais-8935,14,46914,12936.0
2021-10-01,2021,202110,на Горького,Rubok,RB ais-8935,12,45252,11088.0
2021-11-01,2021,202111,на Горького,Rubok,RB ais-8935,9,25920,8316.0
2021-12-01,2021,202112,на Горького,Rubok,RB ais-8935,10,26740,9240.0
2022-01-01,2022,202201,на Горького,Rubok,RB ais-8935,15,54075,13860.0
2022-02-01,2022,202202,на Горького,Rubok,RB ais-8935,9,34605,8316.0
2022-03-01,2022,202203,на Горького,Rubok,RB ais-8935,8,22536,7392.0
2022-04-01,2022,202204,на Горького,Rubok,RB ais-8935,14,52710,12936.0
2022-05-01,2022,202205,на Горького,Rubok,RB ais-8935,17,70635,15708.0
2022-06-01,2022,202206,на Горького,Rubok,RB ais-8935,16,58080,14784.0
2022-07-01,2022,202207,на Горького,Rubok,RB ais-8935,17,27608,15708.0
2022-08-01,2022,202208,на Горького,Rubok,RB ais-8935,15,48465,13860.0
2022-09-01,2022,202209,на Горького,Rubok,RB ais-8935,16,53696,14784.0
2022-10-01,2022,202210,на Горького,Rubok,RB ais-8935,13,50934,12012.0
2022-11-01,2022,202211,на Горького,Rubok,RB ais-8935,9,35712,8316.0
2022-12-01,2022,202212,на Горького,Rubok,RB ais-8935,11,34034,10164.0
2021-01-01,2021,202101,на Горького,Rubok,RB ice-6256,11,45331,12012.0
2021-02-01,2021,202102,на Горького,Rubok,RB ice-6256,7,27993,7644.0
2021-03-01,2021,202103,на Горького,Rubok,RB ice-6256,6,18150,6552.0
2021-04-01,2021,202104,на Горького,Rubok,RB ice-6256,10,39180,10920.0
2021-05-01,2021,202105,на Горького,Rubok,RB ice-6256,13,52728,14196.0
2021-06-01,2021,202106,на Горького,Rubok,RB ice-6256,12,43356,13104.0
2021-07-01,2021,202107,на Горького,Rubok,RB ice-6256,13,28951,14196.0
2021-08-01,2021,202108,на Горького,Rubok,RB ice-6256,11,37378,12012.0
2021-09-01,2021,202109,на Горького,Rubok,RB ice-6256,11,41481,12012.0
2021-10-01,2021,202110,на Горького,Rubok,RB ice-6256,10,47200,10920.0
2021-11-01,2021,202111,на Горького,Rubok,RB ice-6256,7,23618,7644.0
2021-12-01,2021,202112,на Горького,Rubok,RB ice-6256,8,28576,8736.0
2022-01-01,2022,202201,на Горького,Rubok,RB ice-6256,12,44544,13104.0
2022-02-01,2022,202202,на Горького,Rubok,RB ice-6256,8,33448,8736.0
2022-03-01,2022,202203,на Горького,Rubok,RB ice-6256,6,18606,6552.0
2022-04-01,2022,202204,на Горького,Rubok,RB ice-6256,11,44231,12012.0
2022-05-01,2022,202205,на Горького,Rubok,RB ice-6256,14,63042,15288.0
2022-06-01,2022,202206,на Горького,Rubok,RB ice-6256,13,52871,14196.0
2022-07-01,2022,202207,на Горького,Rubok,RB ice-6256,14,32340,15288.0
2022-08-01,2022,202208,на Горького,Rubok,RB ice-6256,12,31992,13104.0
2022-09-01,2022,202209,на Горького,Rubok,RB ice-6256,13,40989,14196.0
2022-10-01,2022,202210,на Горького,Rubok,RB ice-6256,10,41140,10920.0
2022-11-01,2022,202211,на Горького,Rubok,RB ice-6256,8,31312,8736.0
2022-12-01,2022,202212,на Горького,Rubok,RB ice-6256,9,28899,9828.0
2021-01-01,2021,202101,на Горького,Rubok,RB ai-9349,14,44856,12236.0
2021-02-01,2021,202102,на Горького,Rubok,RB ai-9349,9,32805,7866.0
2021-03-01,2021,202103,на Горького,Rubok,RB ai-9349,7,15813,6118.0
2021-04-01,2021,202104,на Горького,Rubok,RB ai-9349,13,51103,11362.0
2021-05-01,2021,202105,на Горького,Rubok,RB ai-9349,16,64288,13984.0
2021-06-01,2021,202106,на Горького,Rubok,RB ai-9349,15,49470,13110.0
2021-07-01,2021,202107,на Горького,Rubok,RB ai-9349,16,24736,13984.0
2021-08-01,2021,202108,на Горького,Rubok,RB ai-9349,14,32074,12236.0
2021-09-01,2021,202109,на Горького,Rubok,RB ai-9349,15,37560,13110.0
2021-10-01,2021,202110,на Горького,Rubok,RB ai-9349,12,44688,10488.0
2021-11-01,2021,202111,на Горького,Rubok,RB ai-9349,9,30951,7866.0
2021-12-01,2021,202112,на Горького,Rubok,RB ai-9349,10,31440,8740.0
2022-01-01,2022,202201,на Горького,Rubok,RB ai-9349,15,41085,13110.0
2022-02-01,2022,202202,на Горького,Rubok,RB ai-9349,10,33120,8740.0
2022-03-01,2022,202203,на Горького,Rubok,RB ai-9349,8,23288,6992.0
2022-04-01,2022,202204,на Горького,Rubok,RB ai-9349,14,49966,12236.0
2022-05-01,2022,202205,на Горького,Rubok,RB ai-9349,18,72090,15732.0
2022-06-01,2022,202206,на Горького,Rubok,RB ai-9349,17,58786,14858.0
2022-07-01,2022,202207,на Горького,Rubok,RB ai-9349,18,24426,15732.0
2022-08-01,2022,202208,на Горького,Rubok,RB ai-9349,15,30075,13110.0
2022-09-01,2022,202209,на Горького,Rubok,RB ai-9349,16,37680,13984.0
2022-10-01,2022,202210,на Горького,Rubok,RB ai-9349,13,39351,11362.0
2022-11-01,2022,202211,на Горького,Rubok,RB ai-9349,10,29880,8740.0
2022-12-01,2022,202212,на Горького,Rubok,RB ai-9349,11,31383,9614.0
2021-01-01,2021,202101,на Ломоносова,Galosha,KA air-9558,85,942480,510000.0
2021-02-01,2021,202102,на Ломоносова,Galosha,KA air-9558,54,618894,324000.0
2021-03-01,2021,202103,на Ломоносова,Galosha,KA air-9558,43,482116,258000.0
2021-04-01,2021,202104,на Ломоносова,Galosha,KA air-9558,80,945040,480000.0
2021-05-01,2021,202105,на Ломоносова,Galosha,KA air-9558,101,1260076,606000.0
2021-06-01,2021,202106,на Ломоносова,Galosha,KA air-9558,96,1104960,576000.0
2021-07-01,2021,202107,на Ломоносова,Galosha,KA air-9558,101,1014646,606000.0
2021-08-01,2021,202108,на Ломоносова,Galosha,KA air-9558,85,884850,510000.0
2021-09-01,2021,202109,на Ломоносова,Galosha,KA air-9558,91,968513,546000.0
2021-10-01,2021,202110,на Ломоносова,Galosha,KA air-9558,75,877200,450000.0
2021-11-01,2021,202111,на Ломоносова,Galosha,KA air-9558,54,629964,324000.0
2021-12-01,2021,202112,на Ломоносова,Galosha,KA air-9558,64,693888,384000.0
2022-01-01,2022,202201,на Ломоносова,Galosha,KA air-9558,94,989256,564000.0
2022-02-01,2022,202202,на Ломоносова,Galosha,KA air-9558,59,653956,354000.0
2022-03-01,2022,202203,на Ломоносова,Galosha,KA air-9558,47,504075,282000.0
2022-04-01,2022,202204,на Ломоносова,Galosha,KA air-9558,88,1071224,528000.0
2022-05-01,2022,202205,на Ломоносова,Galosha,KA air-9558,111,1297146,666000.0
2022-06-01,2022,202206,на Ломоносова,Galosha,KA air-9558,106,1177978,636000.0
2022-07-01,2022,202207,на Ломоносова,Galosha,KA air-9558,111,1149294,666000.0
2022-08-01,2022,202208,на Ломоносова,Galosha,KA air-9558,94,987940,564000.0
2022-09-01,2022,202209,на Ломоносова,Galosha,KA air-9558,100,1077000,600000.0
2022-10-01,2022,202210,на Ломоносова,Galosha,KA air-9558,82,910938,492000.0
2022-11-01,2022,202211,на Ломоносова,Galosha,KA air-9558,59,663691,354000.0
2022-12-01,2022,202212,на Ломоносова,Galosha,KA air-9558,71,748766,426000.0
2021-01-01,2021,202101,на Ломоносова,Galosha,KA grou-7567,78,1000038,552240.0
2021-02-01,2021,202102,на Ломоносова,Galosha,KA grou-7567,49,680365,346920.0
2021-03-01,2021,202103,на Ломоносова,Galosha,KA grou-7567,39,503100,276120.0
2021-04-01,2021,202104,на Ломоносова,Galosha,KA grou-7567,73,1007108,516840.0
2021-05-01,2021,202105,на Ломоносова,Galosha,KA grou-7567,93,1304604,658440.0
2021-06-01,2021,202106,на Ломоносова,Galosha,KA grou-7567,88,1184392,623040.0
2021-07-01,2021,202107,на Ломоносова,Galosha,KA grou-7567,93,1121952,658440.0
2021-08-01,2021,202108,на Ломоносова,Galosha,KA grou-7567,78,981474,552240.0
2021-09-01,2021,202109,на Ломоносова,Galosha,KA grou-7567,83,1050780,587640.0
2021-10-01,2021,202110,на Ломоносова,Galosha,KA grou-7567,69,961653,488520.0
2021-11-01,2021,202111,на Ломоносова,Galosha,KA grou-7567,49,629797,346920.0
2021-12-01,2021,202112,на Ломоносова,Galosha,KA grou-7567,59,757855,417720.0
2022-01-01,2022,202201,на Ломоносова,Galosha,KA grou-7567,86,1101144,608880.0
2022-02-01,2022,202202,на Ломоносова,Galosha,KA grou-7567,54,702702,382320.0
2022-03-01,2022,202203,на Ломоносова,Galosha,KA grou-7567,43,555732,304440.0
2022-04-01,2022,202204,на Ломоносова,Galosha,KA grou-7567,81,1059156,573480.0
2022-05-01,2022,202205,на Ломоносова,Galosha,KA grou-7567,102,1484916,722160.0
2022-06-01,2022,202206,на Ломоносова,Galosha,KA grou-7567,97,1288839,686760.0
2022-07-01,2022,202207,на Ломоносова,Galosha,KA grou-7567,102,1149642,722160.0
2022-08-01,2022,202208,на Ломоносова,Galosha,KA grou-7567,86,1056768,608880.0
2022-09-01,2022,202209,на Ломоносова,Galosha,KA grou-7567,91,1188187,644280.0
2022-10-01,2022,202210,на Ломоносова,Galosha,KA grou-7567,75,1037175,531000.0
2022-11-01,2022,202211,на Ломоносова,Galosha,KA grou-7567,54,711612,382320.0
2022-12-01,2022,202212,на Ломоносова,Galosha,KA grou-7567,65,807820,460200.0
2021-01-01,2021,202101,на Ломоносова,Galosha,KA gre-2749,78,2013804,819000.0
2021-02-01,2021,202102,на Ломоносова,Galosha,KA gre-2749,49,1305017,514500.0
2021-03-01,2021,202103,на Ломоносова,Galosha,KA gre-2749,39,1010061,409500.0
2021-04-01,2021,202104,на Ломоносова,Galosha,KA gre-2749,73,1934208,766500.0
2021-05-01,2021,202105,на Ломоносова,Galosha,KA gre-2749,93,2516115,976500.0
2021-06-01,2021,202106,на Ломоносова,Galosha,KA gre-2749,88,2284480,924000.0
2021-07-01,2021,202107,на Ломоносова,Galosha,KA gre-2749,93,2296728,976500.0
2021-08-01,2021,202108,на Ломоносова,Galosha,KA gre-2749,78,2035644,819000.0
2021-09-01,2021,202109,на Ломоносова,Galosha,KA gre-2749,83,2096331,871500.0
2021-10-01,2021,202110,на Ломоносова,Galosha,KA gre-2749,69,1806696,724500.0
2021-11-01,2021,202111,на Ломоносова,Galosha,KA gre-2749,49,1254008,514500.0
2021-12-01,2021,202112,на Ломоносова,Galosha,KA gre-2749,59,1488275,619500.0
2022-01-01,2022,202201,на Ломоносова,Galosha,KA gre-2749,86,2263778,903000.0
2022-02-01,2022,202202,на Ломоносова,Galosha,KA gre-2749,54,1410858,567000.0
2022-03-01,2022,202203,на Ломоносова,Galosha,KA gre-2749,43,1123203,451500.0
2022-04-01,2022,202204,на Ломоносова,Galosha,KA gre-2749,81,2147553,850500.0
2022-05-01,2022,202205,на Ломоносова,Galosha,KA gre-2749,102,2760732,1071000.0
2022-06-01,2022,202206,на Ломоносова,Galosha,KA gre-2749,97,2615411,1018500.0
2022-07-01,2022,202207,на Ломоносова,Galosha,KA gre-2749,102,2582436,1071000.0
2022-08-01,2022,202208,на Ломоносова,Galosha,KA gre-2749,86,2205642,903000.0
2022-09-01,2022,202209,на Ломоносова,Galosha,KA gre-2749,91,2405312,955500.0
2022-10-01,2022,202210,на Ломоносова,Galosha,KA gre-2749,75,2019450,787500.0
2022-11-01,2022,202211,на Ломоносова,Galosha,KA gre-2749,54,1396602,567000.0
2022-12-01,2022,202212,на Ломоносова,Galosha,KA gre-2749,65,1707355,682500.0
2021-01-01,2021,202101,на Ломоносова,Galosha,KA earth-3018,85,1591370,635800.0
2021-02-01,2021,202102,на Ломоносова,Galosha,KA earth-3018,53,982355,396440.0
2021-03-01,2021,202103,на Ломоносова,Galosha,KA earth-3018,43,765314,321640.0
2021-04-01,2021,202104,на Ломоносова,Galosha,KA earth-3018,79,1499499,590920.0
2021-05-01,2021,202105,на Ломоносова,Galosha,KA earth-3018,101,1870015,755480.0
2021-06-01,2021,202106,на Ломоносова,Galosha,KA earth-3018,95,1789990,710600.0
2021-07-01,2021,202107,на Ломоносова,Galosha,KA earth-3018,101,1710435,755480.0
2021-08-01,2021,202108,на Ломоносова,Galosha,KA earth-3018,85,1543345,635800.0
2021-09-01,2021,202109,на Ломоносова,Galosha,KA earth-3018,90,1598400,673200.0
2021-10-01,2021,202110,на Ломоносова,Galosha,KA earth-3018,74,1373884,553520.0
2021-11-01,2021,202111,на Ломоносова,Galosha,KA earth-3018,53,1000958,396440.0
2021-12-01,2021,202112,на Ломоносова,Galosha,KA earth-3018,64,1147904,478720.0
2022-01-01,2022,202201,на Ломоносова,Galosha,KA earth-3018,93,1714362,695640.0
2022-02-01,2022,202202,на Ломоносова,Galosha,KA earth-3018,58,1035126,433840.0
2022-03-01,2022,202203,на Ломоносова,Galosha,KA earth-3018,47,809575,351560.0
2022-04-01,2022,202204,на Ломоносова,Galosha,KA earth-3018,87,1597233,650760.0
2022-05-01,2022,202205,на Ломоносова,Galosha,KA earth-3018,111,2094015,830280.0
2022-06-01,2022,202206,на Ломоносова,Galosha,KA earth-3018,105,1925280,785400.0
2022-07-01,2022,202207,на Ломоносова,Galosha,KA earth-3018,111,1866576,830280.0
2022-08-01,2022,202208,на Ломоносова,Galosha,KA earth-3018,93,1606854,695640.0
2022-09-01,2022,202209,на Ломоносова,Galosha,KA earth-3018,99,1828530,740520.0
2022-10-01,2022,202210,на Ломоносова,Galosha,KA earth-3018,82,1497484,613360.0
2022-11-01,2022,202211,на Ломоносова,Galosha,KA earth-3018,58,1093938,433840.0
2022-12-01,2022,202212,на Ломоносова,Galosha,KA earth-3018,70,1220450,523600.0
2021-01-01,2021,202101,на Ломоносова,Galosha,KA ais-3700,66,2064876,1108800.0
2021-02-01,2021,202102,на Ломоносова,Galosha,KA ais-3700,41,1311221,688800.0
2021-03-01,2021,202103,на Ломоносова,Galosha,KA ais-3700,33,1012374,554400.0
2021-04-01,2021,202104,на Ломоносова,Galosha,KA ais-3700,62,1969492,1041600.0
2021-05-01,2021,202105,на Ломоносова,Galosha,KA ais-3700,78,2495142,1310400.0
2021-06-01,2021,202106,на Ломоносова,Galosha,KA ais-3700,74,2343432,1243200.0
2021-07-01,2021,202107,на Ломоносова,Galosha,KA ais-3700,78,2309658,1310400.0
